"unlist.names_spec.","unlist.years_spec.","unlist.times_spec.","unlist.av_rates_spec.","unlist.directors_spec.","unlist.countries_spec.","unlist.genres1_spec.","unlist.genres2_spec."
"Ani słowa więcej","2013","1h 33m","6,5","Nicole Holofcener","USA","Dramat","Komedia"
"Księżniczka i Żaba","2009","1h 37m","7,1","Ron Clements","USA","Animacja","Dla dzieci"
"Last Minute","2013","1h 22m","4,3","Patryk Vega","Polska","Komedia",NA
"Pacific Rim","2013","2h 11m","6,5","Guillermo del Toro","USA","Akcja","Sci-Fi"
"Miłość","2012","1h 45m","7,1","Sławomir Fabicki","Polska","Dramat obyczajowy","Top 2012 roku #63"
"Płynące wieżowce","2013","1h 33m","5,7","Tomasz Wasilewski","Polska","Melodramat",NA
"Igrzyska śmierci","2012","2h 22m","7,2","Gary Ross","USA","Akcja","Sci-Fi"
"Igrzyska śmierci: W pierścieniu ognia","2013","2h 26m","7,3","Francis Lawrence","USA","Akcja","Sci-Fi"
"Last Vegas","2013","1h 45m","6,9","Jon Turteltaub","USA","Komedia","Top 2013 roku #54"
"Adwokat","2013","1h 51m","5,2","Ridley Scott","USA","Dramat","Kryminał"
"Don Jon","2013","1h 30m","5,9","Joseph Gordon-Levitt","USA","Dramat","Komedia"
"Wyścig","2013","2h 3m","7,8","Ron Howard","USA","Biograficzny","Dramat"
"Krokodyl Dundee","1986","1h 38m","6,8","Peter Faiman","Australia","Komedia","Przygodowy"
"Akademia Policyjna","1984","1h 36m","6,9","Hugh Wilson","USA","Komedia kryminalna","Top 1984 roku #18"
"Wszystko zostaje w rodzinie","2005","1h 43m","7,0","Niall Johnson","Wielka Brytania","Komedia","Top 2005 roku #65"
"Uwierz w ducha","1990","2h 8m","7,3","Jerry Zucker","USA","Dramat","Fantasy"
"Human Traffic","1999","1h 39m","7,4","Justin Kerrigan","Wielka Brytania","Obyczajowy","Filmweb poleca"
"Człowiek, który śpi","1974","1h 33m","7,9","Bernard Queysanne","Francja","Dramat","Surrealistyczny"
"40 lat minęło","2012","2h 14m","5,8","Judd Apatow","USA","Komedia",NA
"Pieniądze to nie wszystko","2001","1h 42m","6,9","Juliusz Machulski","Polska","Komedia obycz.","Top 2001 roku #49"
"Operacja Samum","1999","1h 28m","6,2","Władysław Pasikowski","Polska","Dramat","Sensacyjny"
"Ślepy zaułek","1995","2h 8m","7,3","Spike Lee","USA","Dramat","Kryminał"
"Cube","1997","1h 30m","7,0","Vincenzo Natali","Kanada","Thriller","Sci-Fi"
"Igraszki losu","2001","1h 30m","6,8","Peter Chelsom","USA","Komedia rom.","Świąteczny"
"Klopsiki i inne zjawiska pogodowe","2009","1h 30m","6,4","Christopher Miller","USA","Animacja","Familijny"
"Niemoralna propozycja","1993","1h 57m","7,0","Adrian Lyne","USA","Dramat","Obyczajowy"
"Reżyseria: Woody Allen","2012","1h 53m","7,1","Robert B. Weide","USA","Biograficzny","Dokumentalny"
"Chłopaki nie płaczą","2000","1h 36m","7,8","Olaf Lubaszenko","Polska","Komedia","Sensacyjny"
"Seks nocy letniej","1982","1h 28m","7,0","Woody Allen","USA","Komedia",NA
"Danny Rose z Broadwayu","1984","1h 24m","7,1","Woody Allen","USA","Komedia",NA
"Sztanga i cash","2013","2h 9m","6,3","Michael Bay","USA","Akcja","Komedia kryminalna"
"O północy w Paryżu","2011","1h 40m","7,1","Woody Allen","USA","Fantasy","Komedia rom."
"Śpioch","1973","1h 29m","7,1","Woody Allen","USA","Komedia","Sci-Fi"
"Wszystko, co chcielibyście wiedzieć o seksie, ale baliście się zapytać","1972","1h 27m","7,2","Woody Allen","USA","Komedia","Top 1972 roku #6"
"Wszystko gra","2005","2h 4m","7,3","Woody Allen","Wielka Brytania","Dramat","Thriller"
"Punisher: Strefa wojny","2008","1h 43m","6,1","Lexi Alexander","USA","Sensacyjny",NA
"Co słychać, koteczku?","1965","1h 48m","6,5","Clive Donner","Francja","Komedia",NA
"Jak się masz koteczku?","1966","1h 20m","5,9","Senkichi Taniguchi","Japonia","Komedia",NA
"Kronika","2012","1h 23m","6,4","Josh Trank","USA","Dramat","Sci-Fi"
"MacGruber","2010","1h 39m","5,0","Jorma Taccone","USA","Komedia","Akcja"
"Nobody Walks","2012","1h 23m","5,8","Ry Russo-Young","USA","Dramat",NA
"Lęk wysokości","2011","1h 27m","7,1","Bartosz Konopka","Polska","Dramat","Psychologiczny"
"Kasyno","1995","2h 58m","8,1","Martin Scorsese","USA","Dramat","Gangsterski"
"Sezon na zabijanie","2013","1h 30m","5,8","Mark Steven Johnson","Belgia","Thriller","Akcja"
"Niepamięć","2013","2h 5m","6,8","Joseph Kosinski","USA","Akcja","Sci-Fi"
"Las Vegas Parano","1998","1h 58m","7,5","Terry Gilliam","USA","Dramat","Surrealistyczny"
"Nie ma mocnych","1974","1h 30m","7,7","Sylwester Chęciński","Polska","Komedia obycz.","Najlepsze filmy #245"
"Wyjście przez sklep z pamiątkami","2010","1h 27m","7,6","Banksy","","Dokumentalny","Komedia"
"Ogniem i mieczem","1999","2h 55m","6,9","Jerzy Hoffman","Polska","Historyczny","Przygodowy"
"Ostrożnie, pożądanie","2007","2h 37m","7,4","Ang Lee","Chiny","Melodramat","Thriller"
"Młodzi gniewni","1995","1h 39m","7,5","John N. Smith","USA","Biograficzny","Dramat"
"Pretty Woman","1990","1h 59m","7,4","Garry Marshall","USA","Komedia rom.","Top 1990 roku #10"
"Psy II: Ostatnia krew","1994","1h 39m","7,3","Władysław Pasikowski","Polska","Sensacyjny","Top 1994 roku #14"
"[Rec]","2007","1h 20m","6,5","Jaume Balagueró","Hiszpania","Horror",NA
"Apocalypto","2006","2h 19m","7,3","Mel Gibson","USA","Dramat","Przygodowy"
"Willow","1988","2h 6m","7,1","Ron Howard","USA","Fantasy","Przygodowy"
"Poszukiwany, poszukiwana","1972","1h 23m","7,5","Stanisław Bareja","Polska","Komedia","Najlepsze filmy #412"
"Miasteczko Halloween","1993","1h 16m","7,6","Henry Selick","USA","Animacja","Fantasy"
"Potop","1974","4h 48m","7,4","Jerzy Hoffman","Polska","Historyczny","Top 1974 roku #6"
"21 Jump Street","2012","1h 49m","6,9","Phil Lord","USA","Akcja","Komedia kryminalna"
"Stań przy mnie","1986","1h 29m","7,6","Rob Reiner","USA","Dramat","Familijny"
"Goonies","1985","1h 54m","7,4","Richard Donner","USA","Familijny","Komedia"
"Niewiarygodny Burt Wonderstone","2013","1h 40m","5,8","Don Scardino","USA","Komedia",NA
"G.I. Joe: Odwet","2013","1h 50m","6,1","Jon M. Chu","USA","Akcja",NA
"Swing","2012","1h 16m","5,2","Abelard Giza","Polska","Komedia",NA
"Wojownicze żółwie ninja","2007","1h 27m","6,3","Kevin Munroe","USA","Animacja","Fantasy"
"Sex Story","2011","1h 48m","6,4","Ivan Reitman","USA","Komedia rom.",NA
"Dealer","1996","1h 45m","7,4","Nicolas Winding Refn","Dania","Dramat","Sensacyjny"
"Miłość na wybiegu","2009","1h 33m","4,9","Krzysztof Lang","Polska","Komedia rom.",NA
"Pamiętnik","2004","2h 3m","8,0","Nick Cassavetes","USA","Melodramat","Najlepsze filmy #58"
"Boski chillout","2008","1h 51m","6,3","David Gordon Green","USA","Komedia kryminalna",NA
"Jeff wraca do domu","2011","1h 23m","6,0","Mark Duplass","USA","Dramat","Komedia"
"Miasto nadziei","2003","1h 32m","5,8","Mark Herman","Wielka Brytania","Komedia rom.",NA
"Tarzan","1999","1h 28m","7,4","Chris Buck","USA","Animacja","Przygodowy"
"Aladyn","1992","1h 30m","7,4","John Musker","USA","Animacja","Baśń"
"Doskonały świat","1993","2h 18m","7,8","Clint Eastwood","USA","Dramat","Najlepsze filmy #222"
"Dopóki piłka w grze","2012","1h 51m","7,0","Robert Lorenz","USA","Dramat","Sportowy"
"Święty","1997","1h 56m","6,6","Phillip Noyce","USA","Sensacyjny","Thriller"
"Kaczor Howard","1986","1h 50m","5,6","Willard Huyck","USA","Komedia","Akcja"
"Rozmowy nocą","2008","1h 35m","5,8","Maciej Żak","Polska","Komedia rom.",NA
"Zabić, jak to łatwo powiedzieć","2012","1h 37m","5,9","Andrew Dominik","USA","Kryminał","Thriller"
"Postal","2007","1h 37m","5,9","Uwe Boll","USA","Komedia","Thriller"
"Jesteś Bogiem","2012","2h 4m","6,7","Leszek Dawid","Polska","Biograficzny","Dramat"
"Naciągacze","2003","1h 56m","7,2","Ridley Scott","USA","Komedia kryminalna","Top 2003 roku #45"
"Szklana pułapka 4.0","2007","2h 10m","6,9","Len Wiseman","USA","Sensacyjny","Top 2007 roku #66"
"Podziemny krąg","1999","2h 19m","8,3","David Fincher","USA","Thriller","Psychologiczny"
"The Social Network","2010","2h","7,0","David Fincher","USA","Biograficzny","Obyczajowy"
"Prawo Bronxu","1993","2h 1m","7,9","Robert De Niro","USA","Dramat","Gangsterski"
"Człowiek pies","2005","1h 42m","7,3","Louis Leterrier","Francja","Dramat","Akcja"
"Aniołki Charliego: Zawrotna szybkość","2003","1h 46m","5,5","McG","USA","Komedia","Sensacyjny"
"Między słowami","2003","1h 42m","7,4","Sofia Coppola","USA","Komedia","Melodramat"
"Bronson","2008","1h 32m","7,2","Nicolas Winding Refn","Wielka Brytania","Biograficzny","Dramat"
"Pearl Jam Twenty","2011","1h 59m","8,0","Cameron Crowe","","Dokumentalny","Muzyczny"
"Ace Ventura: Psi detektyw","1994","1h 26m","6,3","Tom Shadyac","USA","Komedia","Top 1994 roku #51"
"Pan i władca: Na krańcu świata","2003","2h 18m","7,2","Peter Weir","USA","Przygodowy","Dramat historyczny"
"Dredd","2012","1h 35m","6,4","Pete Travis","Wielka Brytania","Akcja","Sci-Fi"
"Babel","2006","2h 22m","7,4","Alejandro González Iñárritu","USA","Dramat","Top 2006 roku #16"
"Przypadek","1981","2h 2m","8,0","Krzysztof Kieślowski","Polska","Dramat","Psychologiczny"
"Juno","2007","1h 36m","6,7","Jason Reitman","USA","Dramat","Komedia"
"Prestiż","2006","2h 10m","8,1","Christopher Nolan","USA","Dramat","Thriller"
"Dług","1999","1h 37m","7,8","Krzysztof Krauze","Polska","Dramat","Psychologiczny"
"Looper - Pętla czasu","2012","1h 58m","6,6","Rian Johnson","USA","Akcja","Sci-Fi"
"Sekretne okno","2004","1h 35m","7,1","David Koepp","USA","Thriller","Top 2004 roku #39"
"Dom w głębi lasu","2011","1h 35m","5,5","Drew Goddard","USA","Horror","Filmweb poleca"
"Weekend","2010","2h","4,7","Cezary Pazura","Polska","Sensacyjny","Komedia kryminalna"
"Baby są jakieś inne","2011","1h 30m","5,6","Marek Koterski","Polska","Dramat","Komedia"
"Poznaj naszą rodzinkę","2010","1h 38m","6,3","Paul Weitz","USA","Komedia",NA
"Wpadka","2007","2h 9m","6,1","Judd Apatow","USA","Komedia rom.",NA
"John Rambo","2008","1h 32m","6,8","Sylvester Stallone","USA","Akcja","Top 2008 roku #72"
"Rambo III","1988","1h 41m","6,7","Peter MacDonald","USA","Akcja","Top 1988 roku #29"
"Spotkania na krańcach świata","2007","1h 39m","8,0","Werner Herzog","USA","Dokumentalny","Top 2007 roku #35"
"Ocean's 13","2007","2h 2m","7,2","Steven Soderbergh","USA","Komedia kryminalna","Top 2007 roku #31"
"88 minut","2007","1h 50m","6,5","Jon Avnet","USA","Thriller",NA
"Brazil","1985","2h 22m","7,6","Terry Gilliam","Wielka Brytania","Dramat","Komedia"
"Tańcząc w ciemnościach","2000","2h 19m","7,8","Lars von Trier","Dania","Dramat","Musical"
"Last Days","2005","1h 37m","5,7","Gus Van Sant","USA","Dramat",NA
"Serpico","1973","2h 9m","7,7","Sidney Lumet","USA","Biograficzny","Dramat"
"K-PAX","2001","2h","7,6","Iain Softley","USA","Dramat","Najlepsze filmy #236"
"Miasto Boga","2002","2h 10m","8,0","Fernando Meirelles","Brazylia","Dramat","Thriller"
"Złe wychowanie","2004","1h 45m","7,4","Pedro Almodóvar","Hiszpania","Dramat","Thriller"
"Źródło","2006","1h 36m","7,3","Darren Aronofsky","USA","Dramat","Psychologiczny"
"Dzienniki motocyklowe","2004","2h 6m","7,3","Walter Salles","USA","Biograficzny","Dramat"
"Grizzly Man","2005","1h 43m","7,5","Werner Herzog","USA","Biograficzny","Dokumentalny"
"Avengers","2012","2h 22m","7,5","Joss Whedon","USA","Akcja","Sci-Fi"
"Jak w niebie","2005","1h 35m","6,9","Mark Waters","USA","Fantasy","Komedia rom."
"Lustra","2008","1h 50m","6,4","Alexandre Aja","USA","Horror",NA
"Faceci w czerni II","2002","1h 28m","6,8","Barry Sonnenfeld","USA","Komedia","Sci-Fi"
"Faceci w czerni 3","2012","1h 46m","6,8","Barry Sonnenfeld","USA","Komedia","Sci-Fi"
"Scott Pilgrim kontra świat","2010","1h 52m","6,8","Edgar Wright","USA","Fantasy","Komedia"
"Happy Feet: Tupot małych stóp","2006","1h 49m","6,5","George Miller","Australia","Animacja","Dla dzieci"
"Łatwa dziewczyna","2010","1h 32m","6,5","Will Gluck","USA","Komedia",NA
"Prawdziwy romans","1993","2h","7,5","Tony Scott","USA","Kryminał","Romans"
"Baśń o ludziach stąd","2003","1h 15m","7,2","Władysław Sikora","Polska","Komedia","Top 2003 roku #80"
"Siedmiu samurajów","1954","3h 23m","8,1","Akira Kurosawa","Japonia","Dramat","Najlepsze filmy #90"
"Głębia oceanu","1999","1h 45m","7,0","Ulu Grosbard","USA","Dramat","Top 1999 roku #67"
"Niezwykłe przygody małej pandy","1995","1h 24m","6,3","Christopher Cain","USA","Dramat","Familijny"
"Wszystkie odloty Cheyenne'a","2011","1h 58m","7,1","Paolo Sorrentino","Włochy","Dramat","Komedia"
"Batman - Początek podróży","2005","14m","7,0",NA,NA,"Dokumentalny","Krótkometrażowy"
"33 sceny z życia","2008","1h 40m","6,3","Małgorzata Szumowska","Polska","Dramat","Psychologiczny"
"Pogoda na jutro","2003","1h 34m","7,3","Jerzy Stuhr","Polska","Dramat","Komedia"
"Anakondy: Polowanie na Krwawą Orchideę","2004","1h 37m","5,1","Dwight H. Little","USA","Horror","Przygodowy"
"Anakonda","1997","1h 29m","5,0","Luis Llosa","USA","Horror","Przygodowy"
"Idol z piekła rodem","2010","1h 49m","6,1","Nicholas Stoller","USA","Komedia",NA
"Jason Segel & Paul Rudd Meet Rush","2011","6m","6,4","Jason Segel","","Komedia","Krótkometrażowy"
"Supersamiec","2007","1h 54m","6,4","Greg Mottola","USA","Komedia",NA
"Thor","2011","1h 54m","6,8","Kenneth Branagh","USA","Fantasy","Przygodowy"
"Captain America: Pierwsze starcie","2011","2h 4m","6,7","Joe Johnston","USA","Akcja","Sci-Fi"
"Ostatnia miłość na Ziemi","2011","1h 28m","7,1","David Mackenzie","Wielka Brytania","Melodramat","Sci-Fi"
"Piraci z Karaibów: Na nieznanych wodach","2011","2h 17m","7,4","Rob Marshall","USA","Fantasy","Przygodowy"
"Cheerleaderki Ninja","2008","1h 33m","4,0","David Presley","USA","Komedia",NA
"Hulk - Podwójne starcie","2009","1h 22m","6,8","Frank Paur","USA","Animacja","Akcja"
"Księga ocalenia","2010","1h 58m","7,0","Albert Hughes","USA","Dramat","Przygodowy"
"Punisher","2004","2h 4m","6,6","Jonathan Hensleigh","USA","Sensacyjny","Top 2004 roku #95"
"Podwójne życie","2011","1h 31m","6,5","Jodie Foster","USA","Dramat",NA
"Mroczny Rycerz","2008","2h 32m","8,0","Christopher Nolan","USA","Akcja","Sci-Fi"
"Mission: Impossible 2","2000","2h 3m","6,4","John Woo","USA","Sensacyjny","Top 2000 roku #79"
"Ja, ty i on","2006","1h 48m","6,2","Joe Russo","USA","Komedia rom.",NA
"Pół na pół","2011","1h 39m","7,4","Jonathan Levine","USA","Dramat","Komedia"
"Incredible Hulk","2008","1h 52m","6,4","Louis Leterrier","USA","Akcja","Sci-Fi"
"Tańczący z wilkami","1990","3h 1m","7,8","Kevin Costner","USA","Western","Najlepsze filmy #189"
"Motyl i skafander","2007","1h 52m","7,6","Julian Schnabel","Francja","Biograficzny","Dramat"
"Dawno temu w Ameryce","1984","3h 49m","8,2","Sergio Leone","USA","Dramat","Gangsterski"
"Spadkobiercy","2011","1h 55m","6,7","Alexander Payne","USA","Dramat","Filmweb poleca"
"W krzywym zwierciadle: Strzelając śmiechem","1993","1h 24m","7,0","Gene Quintano","USA","Akcja","Komedia kryminalna"
"Raport mniejszości","2002","2h 25m","7,3","Steven Spielberg","USA","Thriller","Sci-Fi"
"Zawód: Szpieg","2001","2h 6m","7,5","Tony Scott","USA","Sensacyjny","Szpiegowski"
"Zakochany głupiec","2008","1h 50m","6,8","Baillie Walsh","Wielka Brytania","Dramat obyczajowy",NA
"Bliskie spotkania trzeciego stopnia","1977","2h 15m","7,2","Steven Spielberg","USA","Dramat","Przygodowy"
"Hook","1991","2h 24m","7,2","Steven Spielberg","USA","Familijny","Fantasy"
"Universal Soldier III. Reaktywacja","2009","1h 37m","5,3","John Hyams","USA","Akcja","Sci-Fi"
"Rzeź","2011","1h 19m","7,1","Roman Polański","Francja","Dramat","Komedia"
"Dziewczyna z tatuażem","2011","2h 38m","7,7","David Fincher","USA","Kryminał","Thriller"
"Incepcja","2010","2h 28m","8,2","Christopher Nolan","USA","Surrealistyczny","Thriller"
"Krótki film o zabijaniu","1987","1h 24m","7,9","Krzysztof Kieślowski","Polska","Dramat","Psychologiczny"
"Smak życia 2","2005","2h 5m","6,6","Cédric Klapisch","Francja","Komedia rom.",NA
"Wyrolowani","2008","1h 39m","6,1","David Wain","USA","Komedia",NA
"Mleczarz","2004","1h 29m","5,9","Alex De Rakoff","Wielka Brytania","Komedia obycz.",NA
"Obłęd","2005","1h 43m","7,5","John Maybury","USA","Dramat","Thriller"
