"unlist.names_spec.","unlist.years_spec.","unlist.times_spec.","unlist.av_rates_spec.","unlist.directors_spec.","unlist.countries_spec.","unlist.genres1_spec.","unlist.genres2_spec."
"Nigdy w życiu!","2004","1h 40m","6,2","Ryszard Zatorski","Polska","Obyczajowy","Komedia rom."
"Atak pająków","2002","1h 39m","4,1","Ellory Elkayem","USA","Horror","Komedia"
"Monster","2003","1h 49m","7,4","Patty Jenkins","USA","Biograficzny","Dramat"
"Mąż fryzjerki","1990","1h 21m","6,9","Patrice Leconte","Francja","Dramat","Komedia"
"Pola śmierci","1984","2h 21m","7,7","Roland Joffé","Wielka Brytania","Dramat","Wojenny"
"Karmazynowy przypływ","1995","1h 56m","7,5","Tony Scott","USA","Thriller","Top 1995 roku #21"
"Hotel Ruanda","2004","2h 1m","7,7","Terry George","Wielka Brytania","Biograficzny","Dramat"
"Deszczowa piosenka","1952","1h 43m","7,9","Stanley Donen","USA","Komedia","Musical"
"Żądło","1973","2h 9m","8,1","George Roy Hill","USA","Komedia kryminalna","Najlepsze filmy #84"
"Europa Europa","1990","1h 52m","7,5","Agnieszka Holland","Francja","Dramat","Wojenny"
"Kawa i papierosy","1986","6m","7,7","Jim Jarmusch","USA","Komedia","Krótkometrażowy"
"Inwazja barbarzyńców","2003","1h 39m","7,3","Denys Arcand","Francja","Dramat","Komedia"
"Przypadek Harolda Cricka","2006","1h 53m","7,2","Marc Forster","USA","Fantasy","Komedia"
"Ptaki","1963","1h 59m","7,5","Alfred Hitchcock","USA","Dreszczowiec","Top 1963 roku #2"
"Sami swoi","1967","1h 18m","7,8","Sylwester Chęciński","Polska","Komedia obycz.","Najlepsze filmy #109"
"Krótki film o miłości","1988","1h 23m","7,8","Krzysztof Kieślowski","Polska","Dramat","Psychologiczny"
"Szczęki","1975","2h 4m","7,0","Steven Spielberg","USA","Thriller","Top 1975 roku #11"
"Człowiek z marmuru","1976","2h 36m","7,7","Andrzej Wajda","Polska","Dramat obyczajowy","Polityczny"
"Omen","1976","1h 46m","7,4","Richard Donner","Wielka Brytania","Horror","Top 1976 roku #6"
"American Pie: Bractwo Beta","2007","1h 29m","6,3","Andrew Waller","USA","Komedia",NA
"American Pie: Wakacje","2005","1h 35m","6,2","Steve Rash","USA","Komedia",NA
"American Pie: Naga mila","2006","1h 38m","6,1","Joe Nussbaum","USA","Komedia",NA
"Doom","2005","1h 45m","5,4","Andrzej Bartkowiak","USA","Horror","Akcja"
"SzczęścieDziękujęProszęWięcej","2010","1h 40m","6,8","Josh Radnor","USA","Dramat","Komedia"
"Głupi i głupszy 2: Kiedy Harry spotkał Lloyda","2003","1h 25m","4,6","Troy Miller","USA","Komedia",NA
"Iris","2001","1h 30m","7,3","Richard Eyre","Wielka Brytania","Dramat","Biograficzny"
"Piła II","2005","1h 33m","6,4","Darren Lynn Bousman","USA","Horror",NA
"Air America","1990","1h 52m","6,7","Roger Spottiswoode","USA","Komedia","Sensacyjny"
"Trener","2005","2h 16m","7,8","Thomas Carter","USA","Biograficzny","Dramat"
"Zanim odejdą wody","2010","1h 40m","6,6","Todd Phillips","USA","Komedia","Top 2010 roku #91"
"Miłość i inne używki","2010","1h 52m","6,8","Edward Zwick","USA","Dramat","Komedia"
"Zaplątani","2010","1h 36m","7,6","Nathan Greno","USA","Animacja","Familijny"
